Report Date,Accumulated deferred income taxes,Other noncurrent liabilities & deferred credits,Accrued interest,Restricted cash.1,Total liabilities,Commodity & other derivative contractual liabilities.1,Commodity & other derivative contractual liabilities,Total current assets,Common stock,Short-term borrowings,Materials & supplies,Total current liabilities,"Uncertain tax positions, including accrued interest","Long-term debt, less amounts due currently",Commodity & other derivative contractual assets.1,Total assets,Accrued taxes,Trade accounts payable,Allowance for uncollectible accounts,Long-term debt due currently,Fuel stock,Accumulated other comprehensive income (loss),Natural gas in storage,Restricted cash,Inventories,Other noncurrent assets,Less accumulated depreciation,Construction work in progress,Accumulated deferred income taxes.1,Electric,Investments,Goodwill,Other current assets,Asset retirement obligations,Trade accounts receivable - net,Cash & cash equivalents,Other current liabilities,Commodity & other derivative contractual assets,Land
12/31/2015,-,108000,121000,507000,48391000,-,203000,4323000,2000,-,226000,8512000,40000,60000,-,23330000,134000,413000,9000,35000,170000,-126000,32000,524000,428000,95000,2768000,-,609000,-,-,152000,87000,-,533000,2286000,425000,465000,36000
12/31/2014,-,155000,119000,901000,48971000,1000,316000,5083000,2000,-,214000,1795000,74000,128000,5000,29248000,157000,406000,15000,-,215000,-130000,39000,6000,468000,95000,4065000,-,-,-,-,2352000,91000,-,589000,3428000,399000,492000,37000
12/31/2013,105000,30000,564000,-,49701000,-,1355000,4467000,2000,-,216000,43506000,246000,-,4000,36446000,-,401000,14000,-,154000,-63000,29000,949000,399000,865000,7056000,-,-,-,-,3952000,135000,-,718000,1217000,504000,851000,37000
12/31/2012,-,30000,571000,947000,51893000,1556000,1044000,5513000,2000,2136000,201000,5268000,2005000,-,586000,40970000,-,394000,9000,103000,168000,-47000,24000,680000,393000,1070000,5937000,-,-,-,-,4952000,143000,452000,718000,1913000,353000,1595000,41000
12/31/2011,-,28000,480000,947000,51834000,1692000,1950000,5303000,2000,774000,177000,5614000,1972000,-,1552000,44077000,-,574000,27000,47000,203000,-222000,38000,129000,418000,1187000,4803000,-,-,-,-,6152000,82000,505000,767000,826000,497000,3025000,41000
12/31/2010,-,41000,411000,1135000,52299000,869000,2283000,5919000,2000,1221000,162000,6603000,1806000,-,2071000,46388000,-,681000,64000,669000,198000,-263000,35000,33000,395000,641000,3545000,-,-,-,-,6152000,60000,452000,999000,1534000,442000,2732000,41000
12/31/2009,5000,-,526000,1149000,61498000,1060000,2392000,6126000,2000,1569000,248000,7064000,-,-,1533000,59662000,-,896000,83000,417000,204000,-309000,33000,48000,485000,845000,6633000,-,-,-,-,14316000,136000,-,1260000,1189000,744000,2391000,43000
12/31/2008,44000,-,524000,1267000,61440000,2095000,2908000,6755000,-,1237000,199000,7334000,-,-,962000,59263000,-,1143000,70000,385000,162000,-379000,65000,55000,426000,841000,5321000,-,-,-,-,14386000,165000,-,1219000,1689000,612000,2534000,44000
12/31/2007,9000,-,-,1296000,57099000,2282000,297000,3120000,-,1718000,174000,4853000,-,-,73000,63784000,-,904000,32000,513000,138000,-234000,93000,56000,405000,1130000,4076000,-,-,-,-,22954000,-,-,1099000,281000,1416000,280000,44000
12/31/2006,253000,-,-,258000,23782000,-,-,2837000,5000,1491000,189000,5107000,-,-,-,25922000,-,1093000,13000,485000,94000,409000,75000,58000,383000,379000,11319000,1740000,-,-,-,542000,178000,-,959000,25000,1040000,-,36000
12/31/2005,717000,-,-,-,25064000,-,-,4558000,5000,-,163000,6350000,-,-,-,25539000,-,1026000,-,1250000,81000,-202000,99000,54000,364000,349000,10804000,526000,-,-,-,542000,129000,-,1328000,37000,1151000,-,35000
